,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
135,"Reality Energy Centre, Immingham",Planning Permission Expired,Planning Permission Expired,-0.18565615902858343,53.62282136119808,Biomass (dedicated),49.90,Humberside,Yorkshire and Humber,England
136,Templeborough Biomass Power Plant- Rotherham,Operational,Operational,-1.3733703195069906,53.422585382768716,Biomass (dedicated),42.00,South Yorkshire,Yorkshire and Humber,England
137,Reality Energy Centre (Hull),Abandoned,Abandoned,-0.2506866725643734,53.73949181864252,Biomass (dedicated),49.90,Humberside,Yorkshire and Humber,England
138,Teesside Renewable Energy Plant,Abandoned,Abandoned,-1.2130203405904643,54.58665823856098,Biomass (dedicated),49.00,County Durham,North East,England
139,"Pulse Park, Wellingborough",Abandoned,Abandoned,-0.6952579054605175,52.334376882740294,Biomass (dedicated),5.00,Northamptonshire,East Midlands,England
140,Enfield Biomass CHP Project,Abandoned,Abandoned,-0.04900606965104179,51.61783825510853,Advanced Conversion Technologies,12.00,London,London,England
141,Blackburn Meadows Biomass Plant,Operational,Operational,-1.398459766860171,53.420134575016604,Biomass (dedicated),30.00,South Yorkshire,Yorkshire and Humber,England
142,"Tesco Distribution Centre, Goole",Abandoned,Abandoned,-0.8999555938076008,53.704765321730335,Biomass (dedicated),5.00,Humberside,Yorkshire and Humber,England
143,Warwick International Biomass CHP,Abandoned,Abandoned,-3.2599386926373386,53.31472434872355,Biomass (dedicated),8.50,Clwyd,Wales,Wales
144,Barry Docks ,Revised,Revised,-3.257399042297005,51.399903724100454,Biomass (dedicated),9.00,South Glamorgan,Wales,Wales
145,Charlesfield Biomass CHP Plant,Operational,Operational,-2.6532891269437697,55.56049021716062,Advanced Conversion Technologies,10.00,Borders,Scotland,Scotland
146,Diageo Biomass Energy Project,Operational,Operational,-3.0558964353769498,56.189699236859994,Biomass (dedicated),5.50,Fife,Scotland,Scotland
147,Discovery Park,Operational,Operational,1.345665608536484,51.283908762896736,Biomass (dedicated),16.00,Kent,South East,England
148,Drax Biomass Power Station - Unit 1,Operational,Operational,-0.9910967854169027,53.735588909884264,Biomass (co-firing),645.00,North Yorkshire,Yorkshire and Humber,England
149,Drax Biomass Power Station - Unit 3,Operational,Operational,-0.9910967854169027,53.735588909884264,Biomass (dedicated),645.00,North Yorkshire,Yorkshire and Humber,England
150,Port of Dundee,Application Withdrawn,Planning Application Withdrawn,-2.9656152951210792,56.46514424134091,Biomass (dedicated),120.00,Tayside,Scotland,Scotland
151,Gameslack Farm,Revised,Revised,-0.6097398278726002,54.02632977845876,Biomass (dedicated),17.50,Humberside,Yorkshire and Humber,England
152,King George Dock,Operational,Operational,-0.28346980747192313,53.742437922321024,Biomass (dedicated),9.00,Humberside,Yorkshire and Humber,England
153,Mendlesham Renewable Energy Plant,Appeal Withdrawn,Appeal Withdrawn,1.1050766346799978,52.23342513120328,Biomass (dedicated),40.00,Suffolk,Eastern,England
154,Nevis Power Station,Abandoned,Abandoned,-2.9909821161496275,51.55204758434536,Biomass (dedicated),49.90,Gwent,Wales,Wales
155,Northampton General Hospital,Operational,Operational,-0.8819294672480938,52.23648503453063,Biomass (dedicated),1.90,Northamptonshire,East Midlands,England
156,Peterborough Energy Park (Green Energy Parks - Gasification),Planning Permission Expired,Planning Permission Expired,-0.2067633274648453,52.57776368524944,Advanced Conversion Technologies,81.00,Cambridgeshire,Eastern,England
157,Portland Dock Green Energy Plant,Abandoned,Abandoned,-2.4291768064597927,50.56726914761308,Advanced Conversion Technologies,8.00,Dorset,South West,England
158,Snetterton Biomass Plant,Operational,Operational,0.954434485788937,52.47914821421846,Biomass (dedicated),44.20,Norfolk,Eastern,England
159,Speyside Biomass CHP Plant,Operational,Operational,-3.208854608981206,57.49468063658124,Biomass (dedicated),12.50,Grampian,Scotland,Scotland
160,Stoneywood Paper Mill,Abandoned,Abandoned,-2.171929138354952,57.191314216930245,Biomass (dedicated),22.00,Grampian,Scotland,Scotland
161,Trecwn Biomass Plant,Abandoned,Abandoned,-4.94087705447969,51.95011769461614,Biomass (dedicated),25.00,Dyfed,Wales,Wales
162,Twinwoods CHP,Appeal Refused,Appeal Refused,-0.49107975812408045,52.192620131927825,Biomass (dedicated),11.00,Bedfordshire,Eastern,England
163,Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Operational,Operational,-2.7512896562142806,53.35456413702029,Biomass (dedicated),20.00,Merseyside,North West,England
164,Anglesey Biomass Power Station,Planning Permission Expired,Planning Permission Expired,-4.618615142019763,53.30004256443929,Biomass (dedicated),299.00,Gwynedd,Wales,Wales
165,Drax Biomass Power Station - Unit 2,Operational,Operational,-0.9910967854169027,53.735588909884264,Biomass (dedicated),645.00,North Yorkshire,Yorkshire and Humber,England
166,Georgmas CHP,Abandoned,Abandoned,-3.4566649232402895,58.520145628641046,Biomass (dedicated),4.70,Highland,Scotland,Scotland
167,New Greenham Park (gasification),Abandoned,Abandoned,-1.288966053778309,51.37542617315892,Advanced Conversion Technologies,6.30,Berkshire,South East,England
168,Plot Q Kiln Lane,Revised,Revised,-0.1710865356531717,53.60901633730236,Anaerobic Digestion,5.00,Humberside,Yorkshire and Humber,England
