,bm_unit,repd_site_name,repd_lat,repd_long,technology_type,capacity,county,region,development_status
158,T_DRAXX-6,Drax Ouse Renewable Energy Park,53.7475,-0.99083,Biomass (dedicated),290.0,North Yorkshire,Yorkshire and Humber,Abandoned
159,T_DRAXX-4,Drax Ouse Renewable Energy Park,53.7475,-0.99083,Biomass (dedicated),290.0,North Yorkshire,Yorkshire and Humber,Abandoned
160,T_DRAXX-2,Drax Ouse Renewable Energy Park,53.7475,-0.99083,Biomass (dedicated),290.0,North Yorkshire,Yorkshire and Humber,Abandoned
161,T_DDGNO-4,Dudgeon East,53.11746,0.61347,Wind Offshore,402.0,Offshore,Offshore,Operational
162,T_DDGNO-1,Dudgeon East,53.11746,0.61347,Wind Offshore,402.0,Offshore,Offshore,Operational
163,T_DDGNO-3,Dudgeon East,53.11746,0.61347,Wind Offshore,402.0,Offshore,Offshore,Operational
164,T_DDGNO-2,Dudgeon East,53.11746,0.61347,Wind Offshore,402.0,Offshore,Offshore,Operational
165,T_DDGNO-3,Dudgeon Extension Project,53.14934,1.18427,Wind Offshore,402.0,Offshore,Offshore,Awaiting Construction
166,T_DDGNO-1,Dudgeon Extension Project,53.14934,1.18427,Wind Offshore,402.0,Offshore,Offshore,Awaiting Construction
167,T_DDGNO-2,Dudgeon Extension Project,53.14934,1.18427,Wind Offshore,402.0,Offshore,Offshore,Awaiting Construction
168,T_DDGNO-4,Dudgeon Extension Project,53.14934,1.18427,Wind Offshore,402.0,Offshore,Offshore,Awaiting Construction
169,T_DNLWW-1,Dun Law,55.80646,-2.84603,Wind Onshore,17.2,Borders,Scotland,Operational
170,T_DUNGW-1,Dunmaglass Wind Farm,57.25148,-4.2558,Wind Onshore,94.0,Highland,Scotland,Operational
171,T_EAAO-2,East Anglia 1 (EA 1),52.13696,2.1728,Wind Offshore,714.0,Offshore,Offshore,Operational
172,T_EAAO-1,East Anglia 1 (EA 1),52.13696,2.1728,Wind Offshore,714.0,Offshore,Offshore,Operational
173,T_EAAO-2,East Anglia 1 North (EA 4),52.13696,2.1728,Wind Offshore,800.0,Offshore,Offshore,Awaiting Construction
174,T_EAAO-1,East Anglia 1 North (EA 4),52.13696,2.1728,Wind Offshore,800.0,Offshore,Offshore,Awaiting Construction
175,T_EAAO-2,East Anglia 2 (EA 2),52.72099,2.16871,Wind Offshore,900.0,Offshore,Offshore,Awaiting Construction
176,E_TULWW-2,Easter Tulloch Wind Farm (Tullo Extension),56.83639,-2.3957,Wind Onshore,25.0,Grampian,Scotland,Operational
177,T_EDINW-1,Edinbane Wind Farm,57.46913,-6.43221,Wind Onshore,41.4,Highland,Scotland,Operational
178,T_ABRBO-1,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),57.1462,-2.07281,Wind Offshore,96.8,Offshore,Offshore,Operational
179,T_EWHLW-1,Ewe Hill,55.10709,-3.33387,Wind Onshore,13.8,Dumfries and Galloway,Scotland,Operational
180,T_FALGW-1,Fallago Rig,55.83131,-2.68803,Wind Onshore,144.0,Borders,Scotland,Operational
181,T_FARR-2,Farr Wind Farm,57.33392,-4.10301,Wind Onshore,92.0,Highland,Scotland,Operational
182,T_FARR-1,Farr Wind Farm,57.33392,-4.10301,Wind Onshore,92.0,Highland,Scotland,Operational
183,E_FASN-4,Fasnakyle Hydro Extension,57.32719,-4.79458,Large Hydro,7.5,Highland,Scotland,Operational
184,T_FASN-1,Fasnakyle Hydro Extension,57.32719,-4.79458,Large Hydro,7.5,Highland,Scotland,Operational
185,T_FASN-2,Fasnakyle Hydro Extension,57.32719,-4.79458,Large Hydro,7.5,Highland,Scotland,Operational
186,E_FASN-3,Fasnakyle Hydro Extension,57.32719,-4.79458,Large Hydro,7.5,Highland,Scotland,Operational
187,E_FAWN-1,Fawley Waste to Energy Plant,50.8485,-1.3796,EfW Incineration,8.6,Hampshire,South East,Operational
188,2__PSTAT002,Fetteresso Wind Farm (Mid Hill 3),56.96441,-2.34737,Wind Onshore,42.0,Grampian,Scotland,Awaiting Construction
189,T_FFES-2,Ffestiniog,52.98083,-3.96889,Pumped Storage Hydroelectricity,360.0,Conwy,Wales,Operational
190,T_FFES-1,Ffestiniog,52.98083,-3.96889,Pumped Storage Hydroelectricity,360.0,Conwy,Wales,Operational
191,T_FFES-3,Ffestiniog,52.98083,-3.96889,Pumped Storage Hydroelectricity,360.0,Conwy,Wales,Operational
192,T_FFES-4,Ffestiniog,52.98083,-3.96889,Pumped Storage Hydroelectricity,360.0,Conwy,Wales,Operational
193,T_FOYED-1,Foyers,57.25436,-4.49382,Pumped Storage Hydroelectricity,300.0,Highland,Scotland,Operational
194,T_FOYE-2,Foyers,57.25436,-4.49382,Pumped Storage Hydroelectricity,300.0,Highland,Scotland,Operational
195,T_FOYE-1,Foyers,57.25436,-4.49382,Pumped Storage Hydroelectricity,300.0,Highland,Scotland,Operational
196,T_FSDLW-1,Freasdail Wind Farm,55.77701,-5.47064,Wind Onshore,22.5,Strathclyde,Scotland,Operational
197,T_GLWSW-1,Galawhistle,55.53957,-3.97542,Wind Onshore,66.0,Strathclyde,Scotland,Operational
198,T_GANW-13,Galloper Wind Farm,51.87999,2.03999,Wind Offshore,353.0,Offshore,Offshore,Operational
199,T_GANW-11,Galloper Wind Farm,51.87999,2.03999,Wind Offshore,353.0,Offshore,Offshore,Operational
200,T_GANW-24,Galloper Wind Farm,51.87999,2.03999,Wind Offshore,353.0,Offshore,Offshore,Operational
201,T_GANW-22,Galloper Wind Farm,51.87999,2.03999,Wind Offshore,353.0,Offshore,Offshore,Operational
202,T_GNAPW-1,Glen App,55.00066,-4.98968,Wind Onshore,22.0,Strathclyde,Scotland,Operational
203,T_GLNKW-1,Glen Kyllachy Wind Farm,57.32073,-4.08565,Wind Onshore,48.5,Highland,Scotland,Operational
204,E_GLCHW-1,Glenchamber Wind Farm,54.96342,-4.75433,Wind Onshore,27.5,Dumfries and Galloway,Scotland,Operational
205,T_GLNDO-1,Glendoe Hydro Scheme,57.14365,-4.6592,Large Hydro,100.0,Highland,Scotland,Operational
206,E_GLOFW-1,Glens of Foudland,57.42535,-2.63607,Wind Onshore,26.0,Grampian,Scotland,Operational
207,E_GFLDW-1,Goole Fields,53.66593,-0.88928,Wind Onshore,32.8,Humberside,Yorkshire and Humber,Operational
